selling_price,km_driven,mileage,engine,max_power,age,make,Individual,Trustmark Dealer,Diesel,Electric,LPG,Petrol,Manual,5,>5
1.2,120000,19.7,796.0,46.3,11.0,MARUTI,1,0,0,0,0,1,1,1,0
5.5,20000,18.9,1197.0,82.0,7.0,HYUNDAI,1,0,0,0,0,1,1,1,0
2.15,60000,17.0,1197.0,80.0,13.0,HYUNDAI,1,0,0,0,0,1,1,1,0
2.26,37000,20.92,998.0,67.1,11.0,MARUTI,1,0,0,0,0,1,1,1,0
5.7,30000,22.77,1498.0,98.59,8.0,FORD,0,0,1,0,0,0,1,1,0
3.5,35000,18.9,998.0,67.1,10.0,MARUTI,1,0,0,0,0,1,1,1,0
3.15,40000,20.36,1197.0,78.9,10.0,HYUNDAI,0,0,0,0,0,1,1,1,0
4.1,17512,20.51,998.0,67.04,5.0,MARUTI,0,0,0,0,0,1,1,1,0
10.5,20000,18.15,998.0,118.35,4.0,HYUNDAI,1,0,0,0,0,1,0,1,0
5.75,70000,18.49,1493.0,100.0,6.0,MAHINDRA,0,0,1,0,0,0,1,0,1
3.05,50000,19.09,1405.0,69.01,8.0,TATA,1,0,1,0,0,0,1,1,0
11.5,18000,20.37,1461.0,108.49,4.0,RENAULT,1,0,1,0,0,0,1,1,0
5.11,28321,16.6,1197.0,85.0,6.0,MARUTI,0,0,0,0,0,1,1,1,0
4.1,27000,19.34,1198.0,76.0,7.0,NISSAN,0,0,0,0,0,1,0,1,0
4.25,65278,22.32,1582.0,126.32,10.0,HYUNDAI,0,0,1,0,0,0,1,1,0
7.5,50000,19.64,1461.0,108.45,7.0,RENAULT,1,0,1,0,0,0,1,1,0
20.90249999999996,6000,14.41,1998.0,189.08,6.0,MINI,0,0,0,0,0,1,0,1,0
6.5,76000,28.09,1248.0,88.5,7.0,MARUTI,0,0,1,0,0,0,1,1,0
6.27,20000,25.2,1248.0,74.0,7.0,MARUTI,1,0,1,0,0,0,1,1,0
14.25,65000,19.27,2143.0,170.0,9.0,MERCEDES-BENZ,0,0,1,0,0,0,0,1,0
4.25,62200,28.4,1248.0,74.0,9.0,MARUTI,0,0,1,0,0,0,1,1,0
6.05,110000,12.99,2494.0,100.6,10.0,TOYOTA,1,0,1,0,0,0,1,0,1
6.0,20000,21.4,1197.0,83.1,8.0,MARUTI,1,0,0,0,0,1,1,1,0
5.75,40000,20.85,1197.0,83.14,7.0,MARUTI,1,0,0,0,0,1,1,1,0
2.6,97000,17.8,1248.0,76.0,11.0,FIAT,1,0,1,0,0,0,1,1,0
4.25,47000,16.09,1598.0,103.2,10.0,VOLKSWAGEN,0,0,0,0,0,1,1,1,0
2.3,25000,20.92,998.0,67.1,10.0,MARUTI,0,0,0,0,0,1,1,1,0
12.25,15000,19.67,1582.0,126.2,4.0,HYUNDAI,1,0,1,0,0,0,1,1,0
3.75,56823,14.02,2179.0,118.3,13.0,MAHINDRA,0,0,1,0,0,0,1,0,1
7.5,50000,17.4,1497.0,117.3,8.0,HONDA,1,0,0,0,0,1,1,1,0
3.5,25000,13.6,2523.0,63.0,12.0,MAHINDRA,1,0,1,0,0,0,1,0,1
6.0,90000,26.59,1248.0,74.0,8.0,MARUTI,1,0,1,0,0,0,1,1,0
3.9,45000,26.59,1248.0,74.0,10.0,MARUTI,0,0,1,0,0,0,1,1,0
1.45,77253,17.7,1497.0,78.0,16.0,HONDA,0,0,0,0,0,1,1,1,0
7.0,25000,17.19,1197.0,81.86,5.0,HYUNDAI,1,0,0,0,0,1,1,1,0
11.5,110000,13.0,2982.0,168.5,10.0,TOYOTA,1,0,1,0,0,0,1,0,1
3.4,30000,23.01,999.0,67.0,6.0,RENAULT,1,0,0,0,0,1,1,1,0
4.65,39993,18.6,1199.0,88.76,7.0,HONDA,0,0,0,0,0,1,1,1,0
1.25,80000,17.92,1086.0,62.1,14.0,HYUNDAI,1,0,0,0,0,1,1,1,0
6.0,185000,15.1,2179.0,140.0,11.0,MAHINDRA,1,0,1,0,0,0,1,0,1
3.8,90000,23.4,1248.0,74.0,10.0,MARUTI,1,0,1,0,0,0,1,1,0
4.0,60000,14.0,2498.0,112.0,14.0,MAHINDRA,1,0,1,0,0,0,1,0,1
3.0,90000,22.1,1248.0,74.0,9.0,CHEVROLET,1,0,1,0,0,0,1,1,0
