Complaint Number,Major Crime Head,Crime Head and Section,Minor Crime Head,Commits,Month
371600116,Murder ,Sec.302/303 IPC,Others,79,Mar-21
359273994,Murder ,Sec.302/303 IPC,For gain,3,Mar-21
415805453,Murder ,Sec.302/303 IPC,Over Property Dispute,5,Mar-21
251546004,Murder ,Sec.302/303 IPC,Due to Personal Vendetta or enemity,3,Mar-21
624630216,Murder ,Sec.302/303 IPC,Due to Sexual jealousy,0,Mar-21
149811574,Murder ,Sec.302/303 IPC,For dowry by burning,1,Mar-21
749998471,Murder ,Sec.302/303 IPC,For dowry by other means,1,Mar-21
508630273,Murder ,Sec.302/303 IPC,Due to Communalism,0,Mar-21
975743412,Murder ,Sec.302/303 IPC,Due to Casteism,0,Mar-21
590638275,Murder ,Sec.302/303 IPC,Witch Craft (Sorcery),0,Mar-21
185691443,Murder ,Sec.302/303 IPC,For Human Sacrifice,1,Mar-21
824663386,Murder ,Sec.302/303 IPC,Due to Terrorism/Naxalism / Extremism,0,Mar-21
534959121,Murder ,Sec.302/303 IPC,For Political Reasons,0,Mar-21
448659551,Murder ,Sec.302/303 IPC,Due to Adultery,3,Mar-21
998429019,Murder ,Sec.302/303 IPC,Civil Disputes,2,Mar-21
221366121,Murder ,Sec.302/303 IPC,Electoral Gain,0,Mar-21
280765300,Murder ,Sec.302/303 IPC,Gang Rivalry,0,Mar-21
915080831,Murder ,Sec.302/303 IPC,Love Intrigue,1,Mar-21
699918040,Murder ,Sec.302/303 IPC,Professional,0,Mar-21
492283167,Murder ,Sec.302/303 IPC,Psychopathic/Serial Killer/Lunacy,0,Mar-21
886575789,Murder ,Sec.302/303 IPC,Rape with Murder,0,Mar-21
748742428,Murder ,Sec.302/303 IPC,Revenge/Enemity,6,Mar-21
823000770,Murder ,Sec.302/303 IPC,Sudden Quarrel,5,Mar-21
978579954,Murder ,Sec.302/303 IPC,Village Dispute,0,Mar-21
372582288,Murder ,Sec.302/303 IPC,Custodial,0,Mar-21
598062257,ATTEMPT TO MURDER ,Sec. 307 IPC,Others,153,Mar-21
227323376,ATTEMPT TO MURDER ,Sec. 307 IPC,For Gain,0,Mar-21
134672344,ATTEMPT TO MURDER ,Sec. 307 IPC,Over Property Dispute,11,Mar-21
591783875,ATTEMPT TO MURDER ,Sec. 307 IPC,Due to Personal Vendetta or enemity,10,Mar-21
834212518,ATTEMPT TO MURDER ,Sec. 307 IPC,Due to Sexual jealousy,2,Mar-21
368389376,ATTEMPT TO MURDER ,Sec. 307 IPC,For Dowry other Means,5,Mar-21
819217834,ATTEMPT TO MURDER ,Sec. 307 IPC,Dowry By Burning,0,Mar-21
975280737,ATTEMPT TO MURDER ,Sec. 307 IPC,Due to Communalism,0,Mar-21
229815464,ATTEMPT TO MURDER ,Sec. 307 IPC,Due to Casteism,0,Mar-21
609719707,ATTEMPT TO MURDER ,Sec. 307 IPC,Witch Craft (Sorcery),0,Mar-21
571827799,ATTEMPT TO MURDER ,Sec. 307 IPC,For Human Sacrifice,0,Mar-21
864956142,ATTEMPT TO MURDER ,Sec. 307 IPC,Terrorism /Naxalism / Extremism,0,Mar-21
643336260,ATTEMPT TO MURDER ,Sec. 307 IPC,For Political Reasons,3,Mar-21
124480034,ATTEMPT TO MURDER ,Sec. 307 IPC,Adultery,2,Mar-21
358737528,ATTEMPT TO MURDER ,Sec. 307 IPC,Electoral Gain,0,Mar-21
346268403,ATTEMPT TO MURDER ,Sec. 307 IPC,Gang Rivalry,0,Mar-21
952314337,ATTEMPT TO MURDER ,Sec. 307 IPC,Love Intrigue,1,Mar-21
620980847,ATTEMPT TO MURDER ,Sec. 307 IPC,Professional,0,Mar-21
850629480,ATTEMPT TO MURDER ,Sec. 307 IPC,Rape,0,Mar-21
178774233,ATTEMPT TO MURDER ,Sec. 307 IPC,Revenge/Enemity,16,Mar-21
615620286,ATTEMPT TO MURDER ,Sec. 307 IPC,Sudden Quarrel,14,Mar-21
132175732,ATTEMPT TO MURDER ,Sec. 307 IPC,Village Dispute,1,Mar-21
417177700,ATTEMPT TO MURDER ,Sec. 307 IPC,Civil Disputes,22,Mar-21
675472343,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Others,5,Mar-21
466590298,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,For Gain,0,Mar-21
185701487,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Over Civil Dispute,0,Mar-21
451003216,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Due to Personal Vendetta or enemity,0,Mar-21
457509537,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Due to Sexual jealousy,0,Mar-21
526370935,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,For Dowry,0,Mar-21
184360391,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Due to Communalism,0,Mar-21
153149631,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Due to Casteism,0,Mar-21
561485617,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Witch Craft (Sorcery),0,Mar-21
607105606,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,For Human Sacrifice,0,Mar-21
336855089,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Terrorism /Naxalism / Extremism,0,Mar-21
561118142,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,For Political Reasons,0,Mar-21
825795086,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Adultery,0,Mar-21
692485374,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Property Disputes,0,Mar-21
426157232,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Electoral Gain,1,Mar-21
623200663,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Gang Rivalry,0,Mar-21
242903059,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Love Intrigue,0,Mar-21
358552029,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Professional,0,Mar-21
738387185,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Sudden Quarrel,1,Mar-21
995515637,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Others,0,Mar-21
163603211,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,For Gain,1,Mar-21
788055451,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Over Civil Dispute,0,Mar-21
471989363,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Due to Personal Vendetta or enemity,0,Mar-21
411809607,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Due to Sexual jealousy,0,Mar-21
249234887,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,For Dowry,0,Mar-21
428109409,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Due to Communalism,0,Mar-21
709355164,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Due to Casteism,0,Mar-21
441284640,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Witch Craft (Sorcery),0,Mar-21
578363132,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,For Human Sacrifice,0,Mar-21
682748041,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Terrorism /Naxalism / Extremism,0,Mar-21
773827796,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,For Political Reasons,0,Mar-21
705138134,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Adultery,0,Mar-21
923246497,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Property Disputes,0,Mar-21
563912211,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Electoral Gain,0,Mar-21
700848832,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Gang Rivalry,0,Mar-21
233066092,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Love Intrigue,0,Mar-21
700633985,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Professional,0,Mar-21
760339443,"ATTEMPT TO CULPABLE HOMICIDE NOT
AMOUNTING TO MURDER ",Sec. 308 IPC,Sudden Quarrel,0,Mar-21
536591629,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",Others,8,Mar-21
557672328,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",Custodial Rape,0,Mar-21
225219535,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",Attempt to Commit,0,Mar-21
341945672,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",By a Gang,1,Mar-21
446389841,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",By Parents,0,Mar-21
731365141,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",By Hospital Staff,0,Mar-21
486366877,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",By Husband During Sepearation,2,Mar-21
486150171,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",By Neighbours,4,Mar-21
663027982,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",By Relatives,8,Mar-21
279470992,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",In Jail Custody,0,Mar-21
826851134,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",In Remand Home,0,Mar-21
196989449,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",InCest,0,Mar-21
156004759,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",Known Person,25,Mar-21
123350821,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",Unknown Person,0,Mar-21
671449587,RAPE ,"Sec.376, 376(A) to 376 (D) IPC",On Minor,0,Mar-21
272952405,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Others,59,Mar-21
582385681,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Missing - Boy,59,Mar-21
995461031,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Missing - Girl,220,Mar-21
639882672,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",For Ransom - of Children,2,Mar-21
900249555,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",For Ransom - of Cildren for Begging,0,Mar-21
226810332,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",For Ransom - of Women,1,Mar-21
236600182,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",For Ransom - of Girls for Immoral Purpose,0,Mar-21
126102265,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",For Ransom - of  Others,7,Mar-21
688508078,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Procuration of Minor Girls - For Prostitution,0,Mar-21
477938383,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Procuration of Minor Girls - Importring of Girl,0,Mar-21
184744868,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Procuration of Minor Girls - For other Purpose,3,Mar-21
620941125,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Espionage,0,Mar-21
512295794,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Intent to Steal From Child,0,Mar-21
404006879,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Murder (Homicide),0,Mar-21
360435955,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Obtain Signature Forcibly,0,Mar-21
413766780,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Recovering Loan,0,Mar-21
603327765,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Settling any Disputes,1,Mar-21
547176406,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Unnatural Lust / Illicit Intercourse,0,Mar-21
312237740,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",Wrongful Confinement,4,Mar-21
100937987,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",For Exporting,0,Mar-21
644167597,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",From Lawful Guardianship,0,Mar-21
373020965,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",For Camel Racing Etc.,0,Mar-21
402531807,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",To Compel For Marriage,1,Mar-21
170623766,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",For Slavery,0,Mar-21
976869333,KIDNAPPING AND ABDUCTION ,"Sec.360, 361,
363 to 369 IPC",For Stealing From its Person,0,Mar-21
547451938,DACOITY ,Sec. 395 to 398 IPC ,Others,nan,Mar-21
406987631,DACOITY ,Sec. 395 to 398 IPC ,At ATM,0,Mar-21
410752412,DACOITY ,Sec. 395 to 398 IPC ,At Residential Premises,2,Mar-21
758776474,DACOITY ,Sec. 395 to 398 IPC ,On Highways,2,Mar-21
679536150,DACOITY ,Sec. 395 to 398 IPC ,In Trains,0,Mar-21
267981545,DACOITY ,Sec. 395 to 398 IPC ,At Banks,0,Mar-21
344289043,DACOITY ,Sec. 395 to 398 IPC ,At Commercial Places / Establishments,1,Mar-21
983087885,DACOITY ,Sec. 395 to 398 IPC ,On Other Roads,4,Mar-21
598748105,DACOITY ,Sec. 395 to 398 IPC ,In Other Places,7,Mar-21
575109055,DACOITY ,Sec. 395 to 398 IPC ,River & Sea,0,Mar-21
841472382,Preparation And Assembly for Dacoity,,Others,33,Mar-21
653685109,Robbery ,Sec.392 to 394 IPC,Others,nan,Mar-21
661648944,Robbery ,Sec.392 to 394 IPC,At ATM,0,Mar-21
721294024,Robbery ,Sec.392 to 394 IPC,At Residential Premises,13,Mar-21
549374286,Robbery ,Sec.392 to 394 IPC,On Highways,15,Mar-21
103837071,Robbery ,Sec.392 to 394 IPC,In Trains,4,Mar-21
890663672,Robbery ,Sec.392 to 394 IPC,At Banks,2,Mar-21
665641150,Robbery ,Sec.392 to 394 IPC,At Commercial Places / Establishments,6,Mar-21
328065989,Robbery ,Sec.392 to 394 IPC,In Other Places,62,Mar-21
898575888,Robbery ,Sec.392 to 394 IPC,Chain Snatching,74,Mar-21
812240774,Robbery ,Sec.392 to 394 IPC,Attempt to Commit,1,Mar-21
614193807,BURGLARY - NIGHT ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",Others,nan,Mar-21
181849180,BURGLARY - NIGHT ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",At Residential Premises,167,Mar-21
700342447,BURGLARY - NIGHT ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",On Highways,0,Mar-21
310507933,BURGLARY - NIGHT ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",In Trains,0,Mar-21
719793647,BURGLARY - NIGHT ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",At Banks,3,Mar-21
550770757,BURGLARY - NIGHT ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",At Commercial Places / Establishments,39,Mar-21
578668567,BURGLARY - NIGHT ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",In Other Places,52,Mar-21
197829530,BURGLARY - NIGHT ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",Temple Theft,30,Mar-21
166742167,BURGLARY - DAY ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",Others,nan,Mar-21
316843831,BURGLARY - DAY ,"Sec. 380 IPC R/W 453 TO
460, 462 IPC",At Residential Premises,83,Mar-21
