InvoiceDate,Make,CountryName,IsDealer,SalePrice,CostPrice,TotalDiscount,DeliveryCharge,SpareParts,LaborCost,ClientName,Model,Color,ReportingYear,ReportingMonth,Registration_Date,VehicleType,InvoiceNumber,CountryISOCode,OuterPostode,Region
2012-10-04,Rolls Royce,United Kingdom,,95000,50000,500.0,750,500,750,Aldo Motors,Camargue,Red,2012,10,1985-01-08,Saloon,8B3D7F83-F42C-4523-A737-CDCBF7705B77,GBR,ST,East Midlands
2012-01-01,Aston Martin,United Kingdom,,120000,75000,0.0,1500,600,550,Honest John,DBS,Blue,2012,1,2007-05-09,Coupe,139BEEEF-FF32-4BE9-9EF1-819AC888B85C,GBR,EC,Greater London Authority
2012-02-02,Rolls Royce,United Kingdom,,88000,75000,750.0,1000,750,550,Bright Orange,Silver Ghost,Green,2012,2,2006-09-08,Saloon,D35D72CD-5FF3-4701-A6D1-265A4F4E7CD5,GBR,B,West Midlands
2012-03-03,Rolls Royce,United Kingdom,,89000,88000,0.0,1000,85,550,Honest John,Silver Ghost,Blue,2012,3,1987-01-05,Saloon,2ABAA300-E2A5-4E37-BFCA-7B80ED88A2BD,GBR,EC,Greater London Authority
2012-04-04,Rolls Royce,United Kingdom,,92000,62000,0.0,1500,2500,550,Wheels'R'Us,Camargue,Canary Yellow,2012,4,1985-01-08,Saloon,A1C2D846-EC39-46FA-A399-0C194AAD4DC8,GBR,NE,Greater London Authority
2012-05-04,Rolls Royce,United Kingdom,,102500,125000,0.0,1000,4000,550,Cut'n'Shut,Camargue,British Racing Green,2012,5,1986-05-06,Saloon,1B8F325A-CC41-4BA6-A486-9D44962E40A3,GBR,M,North West
2012-06-04,Aston Martin,United Kingdom,,110000,56000,750.0,500,900,550,Bright Orange,DBS,Dark Purple,2012,6,1991-08-09,Coupe,F1B566F0-D137-4810-B449-575438F3F392,GBR,B,West Midlands
2012-07-04,Aston Martin,France,,125000,23500,2500.0,1000,900,550,Les Arnaqueurs,DB7,Red,2012,7,1992-05-08,Coupe,ADFFAC9E-DFF3-4BAB-9EC4-DEE9A2B69350,FRA,,
2012-08-04,Aston Martin,United Kingdom,,130000,15500,0.0,1000,900,750,Aldo Motors,DB9,Blue,2012,8,2005-09-08,Coupe,15A3BC61-82BD-4CCD-8F0B-49EEE59AF4B7,GBR,ST,East Midlands
2012-09-04,Aston Martin,United Kingdom,,75000,75890,0.0,1000,750,750,Aldo Motors,DB9,Silver,2012,9,1993-05-08,Coupe,CFC6726D-1522-4981-BC6B-766AE2C6EED0,GBR,ST,East Midlands
2012-09-04,Aston Martin,United Kingdom,,68500,99000,0.0,1000,750,750,Aldo Motors,DB4,Night Blue,2012,9,1975-05-06,Coupe,CFC6726D-1522-4981-BC6B-766AE2C6EED0,GBR,ST,East Midlands
2012-11-04,Aston Martin,France,,95000,125000,0.0,1500,750,750,Les Arnaqueurs,Vantage,Canary Yellow,2012,11,1985-01-15,Coupe,C4A55876-3893-4D12-89EF-D381C9CB642B,FRA,,
2012-11-04,Aston Martin,United Kingdom,,155000,125000,0.0,1500,600,750,Wheels'R'Us,Vanquish,Night Blue,2012,11,1979-03-29,Coupe,4DFCF7EF-C853-4D75-B584-75F6D752DE92,GBR,NE,Greater London Authority
